kind,magnitude,detector,n_change_points,n_detected,detection_rate,mean_delay,median_delay,n_detections_total,false_alarms_per_1k,alarm_rate,n_adaptations,n_steps,seconds,control_firings,excess_firings
gradual,1.0,adwin,1,1,1.0,245.0,245.0,17,1.9036287923854849,0.01665675193337299,17,8405,2.8,18,-1
gradual,1.0,kswin,1,1,1.0,248.0,248.0,24,2.7364663890541343,0.015466983938132063,24,8405,6.69,26,-2
gradual,1.0,adwin_var,1,1,1.0,213.0,213.0,5,0.4759071980963712,0.022724568709101726,5,8405,1.38,2,3
gradual,1.0,adwin_meanvar,1,1,1.0,149.0,149.0,17,1.9036287923854849,0.01689470553242118,17,8405,3.2,18,-1
gradual,2.0,adwin,1,1,1.0,245.0,245.0,17,1.9036287923854849,0.031171921475312316,17,8405,4.18,18,-1
gradual,2.0,kswin,1,1,1.0,248.0,248.0,25,2.8554431885782274,0.02343842950624628,25,8405,6.41,26,-1
gradual,2.0,adwin_var,1,1,1.0,117.0,117.0,5,0.4759071980963712,0.027721594289113624,5,8405,1.46,2,3
gradual,2.0,adwin_meanvar,1,1,1.0,85.0,85.0,19,2.1415823914336705,0.02343842950624628,19,8405,3.71,18,1
gradual,3.0,adwin,1,1,1.0,245.0,245.0,17,1.9036287923854849,0.035455086258179655,17,8405,3.21,18,-1
gradual,3.0,kswin,1,1,1.0,248.0,248.0,24,2.7364663890541343,0.026650803093396788,24,8405,6.93,26,-2
gradual,3.0,adwin_var,1,1,1.0,85.0,85.0,5,0.4759071980963712,0.030814991076740034,5,8405,1.52,2,3
gradual,3.0,adwin_meanvar,1,1,1.0,85.0,85.0,19,2.1415823914336705,0.025223081499107673,19,8405,3.34,18,1
gradual,5.0,adwin,1,1,1.0,245.0,245.0,16,1.784651992861392,0.03509815585960738,16,8405,2.65,18,-2
gradual,5.0,kswin,1,1,1.0,248.0,248.0,24,2.7364663890541343,0.02724568709101725,24,8405,6.37,26,-2
gradual,5.0,adwin_var,1,1,1.0,85.0,85.0,5,0.4759071980963712,0.032956573468173704,5,8405,1.37,2,3
gradual,5.0,adwin_meanvar,1,1,1.0,85.0,85.0,18,2.022605591909578,0.02843545508625818,18,8405,3.2,18,0
recurring,0.0,adwin,3,3,1.0,201.0,120.0,18,1.7848643503093764,0.021894336030461686,18,8404,2.98,18,0
recurring,0.0,kswin,3,3,1.0,117.66666666666667,67.0,26,2.7367920038077105,0.020347453593526892,26,8404,6.09,26,0
recurring,0.0,adwin_var,3,0,0.0,,,2,0.23798191337458352,0.03367444074250357,2,8404,1.03,2,0
recurring,0.0,adwin_meanvar,3,3,1.0,201.0,120.0,18,1.7848643503093764,0.021894336030461686,18,8404,3.15,18,0
recurring,1.0,adwin,3,3,1.0,19.666666666666668,24.0,19,1.9038553069966682,0.026534983341266062,19,8404,3.09,18,1
recurring,1.0,kswin,3,3,1.0,119.66666666666667,13.0,26,2.7367920038077105,0.019276534983341267,26,8404,6.01,26,0
recurring,1.0,adwin_var,3,2,0.6666666666666666,41.0,41.0,3,0.11899095668729176,0.02570204664445502,3,8404,1.17,2,1
recurring,1.0,adwin_meanvar,3,3,1.0,19.666666666666668,24.0,19,1.9038553069966682,0.026534983341266062,19,8404,3.24,18,1
recurring,2.0,adwin,3,3,1.0,19.666666666666668,24.0,15,1.4278914802475011,0.10590195145168967,15,8404,2.51,18,-3
recurring,2.0,kswin,3,3,1.0,191.33333333333334,136.0,24,2.498810090433127,0.04128986197049024,24,8404,5.92,26,-2
recurring,2.0,adwin_var,3,3,1.0,30.333333333333332,26.0,5,0.23798191337458352,0.2037125178486435,5,8404,1.36,2,3
recurring,2.0,adwin_meanvar,3,3,1.0,19.666666666666668,24.0,15,1.4278914802475011,0.10590195145168967,15,8404,2.62,18,-3
recurring,3.0,adwin,3,3,1.0,19.666666666666668,24.0,14,1.3089005235602094,0.22168015230842456,14,8404,2.53,18,-4
recurring,3.0,kswin,3,3,1.0,203.0,169.0,25,2.6178010471204187,0.06437410756782484,25,8404,5.79,26,-1
recurring,3.0,adwin_var,3,3,1.0,30.333333333333332,26.0,4,0.11899095668729176,0.44526415992384577,4,8404,1.25,2,2
recurring,3.0,adwin_meanvar,3,3,1.0,19.666666666666668,24.0,14,1.3089005235602094,0.22168015230842456,14,8404,2.54,18,-4
recurring,5.0,adwin,3,3,1.0,19.666666666666668,24.0,14,1.3089005235602094,0.24952403617325083,14,8404,2.29,18,-4
recurring,5.0,kswin,3,3,1.0,192.0,136.0,25,2.6178010471204187,0.05830556877677297,25,8404,6.04,26,-1
recurring,5.0,adwin_var,3,3,1.0,19.666666666666668,24.0,5,0.23798191337458352,0.6388624464540695,5,8404,1.3,2,3
recurring,5.0,adwin_meanvar,3,3,1.0,19.666666666666668,24.0,14,1.3089005235602094,0.24952403617325083,14,8404,2.55,18,-4
