sweep,value,strategy,f1,precision,recall,alarm_rate,beats_flag_everything,n_adaptations,seconds,mean_delay,false_alarms_per_1k,detection_rate
threshold_quantile,0.5,static,0.5131367525079255,0.34511361644955896,1.0,0.9976107226107226,False,0.0,0.74,,,
threshold_quantile,0.5,online-no-reset,0.3565749794389107,0.3874875868917577,0.3302301963439404,0.2934149184149184,False,0.0,4.18,,,
threshold_quantile,0.5,periodic,0.5437441204139228,0.45085803432137284,0.6848341232227488,0.522960372960373,True,17.0,7.85,,,
threshold_quantile,0.5,drift-triggered,0.502287470126323,0.4209682957536912,0.6225457007447529,0.5091491841491842,False,35.0,14.5,,,
threshold_quantile,0.7,static,0.5173609586936482,0.34925620814318736,0.9974610697359513,0.9832750582750582,True,0.0,0.61,,,
threshold_quantile,0.7,online-no-reset,0.27366428270929744,0.36138888888888887,0.22020988490182802,0.2097902097902098,False,0.0,4.18,,,
threshold_quantile,0.7,periodic,0.43793634962371925,0.4715875805506737,0.4087677725118483,0.2984265734265734,False,17.0,8.14,,,
threshold_quantile,0.7,drift-triggered,0.42345745637704624,0.45182341650671787,0.3984427894380501,0.30361305361305363,False,35.0,14.13,,,
threshold_quantile,0.85,static,0.5291860783776376,0.36237958213436755,0.9805348679756263,0.9315850815850816,True,0.0,0.59,,,
threshold_quantile,0.85,online-no-reset,0.18344237544036235,0.3573529411764706,0.12339201083276913,0.11888111888111888,False,0.0,4.32,,,
threshold_quantile,0.85,periodic,0.2671336835960304,0.430560782837787,0.19363574813811782,0.15483682983682984,False,17.0,8.12,,,
threshold_quantile,0.85,drift-triggered,0.2771491893152922,0.44577861163227017,0.20108327691266079,0.1553030303030303,False,35.0,14.38,,,
threshold_quantile,0.9,static,0.5373205061371499,0.3731323635884947,0.9595463777928233,0.8853729603729604,True,0.0,0.62,,,
threshold_quantile,0.9,online-no-reset,0.10812390414962011,0.3952991452991453,0.06262694651320244,0.05454545454545454,False,0.0,4.25,,,
threshold_quantile,0.9,periodic,0.19710220597833183,0.4306902452937821,0.12779282329045363,0.10215617715617716,False,17.0,8.02,,,
threshold_quantile,0.9,drift-triggered,0.2021331945889698,0.43651685393258427,0.13151658767772512,0.10372960372960373,False,35.0,14.45,,,
threshold_quantile,0.95,static,0.5447943144680188,0.3927743286708056,0.8887948544346649,0.779079254079254,True,0.0,0.59,,,
threshold_quantile,0.95,online-no-reset,0.04232299124900558,0.35278514588859416,0.022511848341232227,0.02196969696969697,False,0.0,4.08,,,
threshold_quantile,0.95,periodic,0.11329039812646371,0.41883116883116883,0.06550440081245769,0.05384615384615385,False,17.0,7.85,,,
threshold_quantile,0.95,drift-triggered,0.10113185359400265,0.3843575418994413,0.05822613405551794,0.05215617715617716,False,35.0,14.67,,,
threshold_quantile,0.98,static,0.5443092165616782,0.42612276165852725,0.7532159783344617,0.6085664335664336,True,0.0,0.61,,,
threshold_quantile,0.98,online-no-reset,0.016515276630883566,0.3401360544217687,0.008463100880162491,0.008566433566433567,False,0.0,4.34,,,
threshold_quantile,0.98,periodic,0.058503836317135544,0.5258620689655172,0.03097494922139472,0.02027972027972028,False,17.0,8.04,,,
threshold_quantile,0.98,drift-triggered,0.0651517559192754,0.5324675324675324,0.034698713608666214,0.022435897435897436,False,35.0,14.29,,,
adwin_delta,0.0002,drift-triggered,,,,,,,,259.0,1.05,0.8333333333333334
adwin_delta,0.002,drift-triggered,,,,,,,,192.33333333333334,1.25,1.0
adwin_delta,0.02,drift-triggered,,,,,,,,320.3333333333333,1.6,1.0
adwin_delta,0.2,drift-triggered,,,,,,,,123.0,2.0500000000000003,1.0
hst_n_trees,10.0,drift-triggered,0.41701495309742737,,,,,,2.27,,,
hst_n_trees,25.0,drift-triggered,0.42345745637704624,,,,,,5.15,,,
hst_n_trees,50.0,drift-triggered,0.3971138916796055,,,,,,10.09,,,
